NU_INSCRICAO;NU_ANO;TP_SEXO;SG_UF_ESC;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
2,10061E+11;2023;F;GO;A;B;A;A;5;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;A
2,10061E+11;2023;F;GO;B;E;F;C;3;C;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;B
2,10061E+11;2023;F;GO;D;B;C;B;5;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
2,10061E+11;2023;F;GO;E;F;C;D;7;E;A;B;C;B;A;B;A;B;A;B;A;A;B;A;A;D;A;A;B
2,10061E+11;2023;M;GO;D;D;F;B;3;C;B;C;C;B;B;B;A;A;A;B;A;A;B;A;A;B;A;B;B
2,1006E+11;2023;F;GO;E;E;C;D;3;C;A;C;C;B;A;B;A;B;A;A;A;A;B;A;B;D;A;B;B
2,1006E+11;2023;F;GO;B;C;C;B;6;C;A;B;E;B;A;B;A;B;A;B;A;A;C;B;A;E;A;A;B
2,10059E+11;2023;M;GO;H;E;F;B;5;B;A;B;D;A;B;B;A;B;A;B;A;A;C;A;A;D;A;A;B
2,10061E+11;2023;M;GO;B;D;B;B;4;C;A;B;C;B;A;B;A;B;A;B;A;A;B;A;A;C;A;A;B
2,10059E+11;2023;M;GO;D;E;C;B;4;D;A;B;C;A;C;B;B;B;B;B;A;A;B;A;A;E;A;A;B
2,10059E+11;2023;M;GO;A;C;F;B;7;D;A;C;E;B;A;C;A;B;A;A;A;A;A;A;A;D;A;B;B
2,10059E+11;2023;F;GO;G;G;D;B;3;J;A;C;D;B;B;B;A;B;A;A;A;B;D;A;B;D;A;E;B
2,1006E+11;2023;M;GO;H;G;D;D;1;B;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;B;A;A;B
2,1006E+11;2023;F;GO;E;E;B;B;7;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B
2,1006E+11;2023;M;GO;D;D;A;B;5;D;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;D;A;A;B
2,10059E+11;2023;F;GO;E;E;B;D;3;F;A;C;C;B;A;B;B;B;A;B;A;A;B;A;B;D;A;A;B
2,10061E+11;2023;M;GO;H;E;F;B;3;B;A;C;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
2,10061E+11;2023;M;GO;E;E;B;B;4;B;A;B;D;B;B;B;B;B;A;B;A;A;C;B;A;A;A;A;B
2,10058E+11;2023;F;GO;B;B;C;B;4;E;A;C;D;B;A;C;A;B;A;A;A;A;A;A;A;D;A;B;B
2,10059E+11;2023;F;GO;E;G;F;B;2;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;B
2,10059E+11;2023;M;GO;H;C;C;F;6;D;A;C;C;B;A;B;A;B;A;A;A;A;B;A;A;B;A;A;A
2,1006E+11;2023;M;GO;H;H;C;B;3;F;A;D;D;B;A;B;A;B;A;B;A;B;B;A;A;D;A;A;B
2,10058E+11;2023;M;GO;D;D;B;B;4;C;A;B;D;A;A;B;A;B;A;B;A;A;B;A;A;E;A;A;B
2,1006E+11;2023;F;GO;F;E;E;C;4;E;A;B;C;B;A;B;A;B;A;B;A;A;B;A;A;E;B;B;B
2,10059E+11;2023;F;GO;D;E;C;F;3;C;A;D;C;C;A;B;A;B;A;B;A;B;E;A;B;E;A;C;B
2,1006E+11;2023;F;GO;E;F;C;B;4;B;A;C;D;A;A;B;A;B;A;A;A;A;C;B;A;E;A;A;B
2,10061E+11;2023;F;GO;E;D;A;B;3;E;A;B;C;B;C;B;B;B;A;A;A;A;C;B;B;D;A;C;B
2,1006E+11;2023;M;GO;E;E;C;D;5;D;A;C;D;B;A;B;A;B;B;B;A;A;B;A;A;D;A;A;B
2,1006E+11;2023;F;GO;E;D;F;B;5;B;A;B;C;B;A;B;B;B;B;B;A;A;B;A;B;E;A;A;B
2,10061E+11;2023;F;GO;B;E;B;B;4;G;D;B;C;B;C;B;B;B;A;A;A;A;A;A;A;D;A;A;B
2,10059E+11;2023;F;GO;E;E;F;B;4;C;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;B;A;B;B
2,1006E+11;2023;M;GO;G;E;D;B;7;G;A;B;C;B;A;B;B;A;A;A;A;A;B;A;A;C;A;A;B
2,1006E+11;2023;M;GO;C;C;A;B;4;D;A;C;D;B;C;C;A;B;A;A;A;B;B;A;A;E;A;B;B
2,10059E+11;2023;M;GO;E;E;F;F;4;D;A;D;D;C;A;C;A;B;A;A;A;B;C;A;A;D;A;C;B
2,10058E+11;2023;F;GO;E;F;B;D;4;C;A;B;C;B;A;B;A;A;A;A;A;A;A;A;A;E;A;A;B
2,1006E+11;2023;M;GO;C;E;F;C;6;B;A;B;D;B;A;B;A;A;A;B;A;A;B;A;A;D;A;A;B
2,10058E+11;2023;M;GO;B;E;C;B;4;C;A;B;C;B;B;B;A;B;A;B;A;A;B;A;A;D;A;A;B
2,10058E+11;2023;M;GO;E;F;C;D;3;F;A;C;D;C;B;B;B;C;A;B;A;B;C;A;B;D;A;B;B
2,10061E+11;2023;F;GO;H;E;F;B;4;F;A;B;D;C;A;B;B;B;B;A;A;A;C;A;A;E;A;B;B
2,10059E+11;2023;M;GO;D;E;C;C;5;G;A;C;D;A;B;B;C;B;B;B;A;A;B;A;A;E;A;B;B
2,1006E+11;2023;F;GO;D;E;D;B;4;B;A;B;D;A;A;B;B;B;A;A;A;A;A;A;A;D;A;A;B
2,10058E+11;2023;F;GO;D;D;B;B;8;C;A;B;C;A;A;B;A;B;B;B;A;A;A;A;A;D;A;B;B
2,10058E+11;2023;M;GO;E;G;E;D;5;I;A;C;D;C;C;B;B;B;B;B;A;B;B;A;A;E;A;C;B
2,10058E+11;2023;M;GO;H;C;F;B;3;B;A;B;C;B;B;B;A;B;A;A;A;A;B;A;A;C;A;A;B
2,1006E+11;2023;F;GO;E;E;F;F;3;C;A;C;D;A;A;B;B;A;A;B;A;A;B;A;A;B;B;A;B
2,10058E+11;2023;F;GO;E;F;F;D;4;D;A;B;D;A;A;B;A;B;A;A;A;A;B;A;A;E;A;A;B
2,1006E+11;2023;M;GO;E;E;B;B;2;B;A;B;D;A;B;B;B;B;A;B;A;A;B;A;A;C;A;B;B
2,10061E+11;2023;M;GO;B;C;B;B;2;B;A;C;C;B;A;B;B;B;A;B;A;A;B;B;A;C;A;B;B
2,10059E+11;2023;M;GO;C;G;A;A;3;C;A;C;C;B;A;B;B;B;A;A;A;A;B;A;A;C;A;B;B
2,1006E+11;2023;M;GO;E;E;C;B;7;D;A;B;E;A;B;B;A;A;B;B;A;A;B;A;A;C;B;A;B
2,1006E+11;2023;F;GO;H;D;B;B;2;B;A;B;C;A;A;B;A;B;A;A;A;A;A;A;A;C;A;B;B
2,10059E+11;2023;F;GO;H;E;C;B;4;D;A;B;C;B;A;B;B;A;A;A;A;A;B;A;A;D;A;A;B
2,10059E+11;2023;F;GO;B;A;C;B;4;D;A;C;D;B;A;B;B;B;B;B;A;A;C;A;A;E;A;B;B
2,1006E+11;2023;M;GO;F;D;A;B;4;G;A;C;D;B;A;B;A;B;A;A;A;A;C;A;A;D;A;B;B
2,10059E+11;2023;M;GO;E;E;B;B;3;G;A;B;C;B;B;B;B;B;A;B;A;A;B;A;B;D;A;B;B
2,10059E+11;2023;M;GO;D;D;B;B;4;C;A;C;D;A;A;B;B;B;A;A;A;A;B;A;A;B;A;A;A
2,1006E+11;2023;F;GO;C;D;C;F;4;C;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;E;A;B;B
2,1006E+11;2023;F;GO;E;E;C;D;4;G;A;C;D;B;B;B;A;B;A;B;A;A;B;A;B;D;A;B;B
2,10059E+11;2023;M;GO;B;E;A;B;3;B;A;C;C;B;A;B;A;B;A;A;A;A;B;A;A;D;A;B;B
2,10059E+11;2023;F;GO;E;E;F;C;3;C;A;C;D;A;B;B;A;B;A;B;A;A;B;A;A;A;A;A;B
2,10059E+11;2023;M;GO;H;H;B;B;3;B;A;B;C;A;A;B;B;B;B;B;A;B;B;A;A;D;A;A;B
2,1006E+11;2023;F;GO;C;H;F;F;4;D;A;B;D;A;B;B;B;B;A;B;A;A;C;A;B;E;A;A;B
2,10058E+11;2023;M;GO;H;E;D;B;8;D;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
2,1006E+11;2023;M;GO;H;C;F;B;3;E;A;B;C;A;A;B;B;A;A;A;A;A;B;A;A;D;A;A;B
2,1006E+11;2023;M;GO;E;D;D;B;4;E;A;C;D;B;A;C;A;B;A;B;A;B;B;A;A;D;A;A;B
2,10059E+11;2023;F;GO;E;E;C;D;3;I;A;C;D;B;A;B;B;B;A;B;A;A;B;A;A;D;A;A;B
2,10061E+11;2023;F;GO;F;G;B;D;4;D;A;B;D;B;A;B;A;A;A;B;A;A;B;A;A;D;A;B;B
2,10061E+11;2023;F;GO;F;G;C;D;3;E;A;D;D;B;B;C;B;B;A;B;A;B;B;A;B;E;A;D;B
2,1006E+11;2023;M;GO;B;B;B;B;4;A;A;B;C;B;A;B;A;B;B;B;A;A;B;A;A;B;A;A;B
2,10059E+11;2023;M;GO;D;E;D;B;3;E;A;C;C;B;A;B;B;B;A;A;A;B;B;A;A;D;A;A;B
2,10061E+11;2023;F;GO;D;D;B;B;5;F;A;C;D;B;B;B;B;B;A;B;A;A;B;A;A;D;A;A;B
2,10061E+11;2023;M;GO;H;F;F;B;5;J;A;C;E;B;D;B;B;B;B;B;A;A;C;A;B;E;A;B;B
2,10059E+11;2023;M;GO;C;E;B;B;4;F;A;C;D;B;A;B;A;B;A;B;A;B;B;B;A;E;A;A;B
2,10061E+11;2023;M;GO;D;D;C;B;3;C;A;B;C;A;C;B;B;B;A;A;A;A;A;A;A;D;A;B;B
2,1006E+11;2023;M;GO;C;C;B;B;4;D;A;B;D;A;B;B;A;B;A;B;A;A;B;A;A;D;A;B;B
2,1006E+11;2023;F;GO;C;E;C;D;2;A;A;B;B;A;A;B;A;A;A;B;A;A;B;A;A;C;A;A;B
2,1006E+11;2023;M;GO;H;E;B;B;4;C;C;C;C;A;C;C;A;B;A;A;A;A;B;A;A;E;A;B;B
2,1006E+11;2023;F;GO;E;D;C;B;5;E;A;C;D;B;A;B;A;B;A;A;A;A;B;A;A;D;A;B;B
2,1006E+11;2023;M;GO;E;E;B;B;4;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B
2,10059E+11;2023;F;GO;B;E;C;C;4;B;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;A
2,10061E+11;2023;F;GO;D;H;C;C;4;B;A;B;C;A;B;B;A;A;A;B;A;A;B;A;A;D;A;A;B
2,10061E+11;2023;F;GO;E;D;C;F;4;C;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;D;A;B;B
